="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap",="mc_matage",="mc_white",="mc_matblack",="mc_matasian",="mc_mathisp",="mc_mat_other",="mc_born",="mc_mat_hs",="mc_mat_coll",="mc_mat_married",="mc_pnv",="mc_firstcare",="mc_chronic",="mc_preterm",="mc_complications",="mc_csec"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="RD_Estimate",="0.00",="0.03***",="-0.03*",="-1.40***",="0.03*",="0.04",="0.01",="0.09*",="0.03",="0.03*",="0.01",="0.45",="0.02",="-0.00",="0.00",="0.01",="-0.00",="0.06**",="-0.01",="0.01",="-0.01",="0.16",="-0.01",="-0.00",="0.01",="-0.01",="-0.01"
="",="[-0.02,0.02]",="[0.01,0.05]",="[-0.05,-0.00]",="[-1.92,-0.89]",="[0.01,0.06]",="[-0.00,0.08]",="[-0.01,0.02]",="[0.01,0.17]",="[-0.01,0.06]",="[0.00,0.05]",="[-0.00,0.03]",="[-0.02,0.92]",="[-0.01,0.04]",="[-0.01,0.01]",="[-0.01,0.02]",="[-0.02,0.04]",="[-0.00,0.00]",="[0.02,0.09]",="[-0.04,0.02]",="[-0.02,0.04]",="[-0.04,0.03]",="[-0.09,0.41]",="[-0.03,0.02]",="[-0.03,0.03]",="[-0.01,0.03]",="[-0.03,0.02]",="[-0.04,0.01]"
="",="(0.760)",="(0.001)",="(0.021)",="(0.000)",="(0.019)",="(0.068)",="(0.251)",="(0.028)",="(0.112)",="(0.023)",="(0.137)",="(0.060)",="(0.226)",="(0.768)",="(0.601)",="(0.625)",="(1.000)",="(0.003)",="(0.596)",="(0.686)",="(0.692)",="(0.204)",="(0.701)",="(0.806)",="(0.459)",="(0.615)",="(0.302)"
="N",="59772",="59772",="59772",="59772",="59772",="59772",="59772",="59772",="59772",="59772",="59772",="70108",="70108",="70108",="70108",="70108",="70108",="70108",="70108",="70108",="70108",="70108",="70108",="70108",="70108",="70108",="70108"
