="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="RD_Estimate",="0.00",="0.03***",="-0.03*",="-1.40***",="0.03*",="0.04",="0.01",="0.09*",="0.03",="0.03*",="0.01"
="",="[-0.02,0.02]",="[0.01,0.05]",="[-0.05,-0.00]",="[-1.92,-0.89]",="[0.01,0.06]",="[-0.00,0.08]",="[-0.01,0.02]",="[0.01,0.17]",="[-0.01,0.06]",="[0.00,0.05]",="[-0.00,0.03]"
="",="(0.760)",="(0.001)",="(0.021)",="(0.000)",="(0.019)",="(0.068)",="(0.251)",="(0.028)",="(0.112)",="(0.023)",="(0.137)"
="N",="59772",="59772",="59772",="59772",="59772",="59772",="59772",="59772",="59772",="59772",="59772"
