="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)",="(0.000)",="(0.124)",="(0.115)",="(0.017)",="(0.332)",="(0.000)",="(0.002)",="(0.143)",="(0.399)",="(0.011)",="(0.018)",="(0.175)",="(0.310)",="(0.822)",="(0.022)",="(0.332)"
="lin_inter",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00***",="-0.00",="0.00***",="0.00*",="-0.00***",="-0.00***",="-0.00",="-0.00",="-0.00***",="-0.00***",="-0.00",="-0.00",="0.00***",="0.00",="0.00*",="-0.00",="-0.00",="0.00",="-0.02***",="-0.00",="-0.00",="-0.00",="0.00",="-0.00*",="-0.00",="-0.00",="0.00",="-0.02***",="0.02***",="-0.02***",="-0.00",="0.00",="0.00",="-0.02**",="0.00",="0.00",="0.00",="0.00",="-0.00",="-0.00",="0.00",="0.00",="-0.02**",="0.02*",="-0.02**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="[-0.00,-0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.02,-0.01]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.02,-0.01]",="[0.02,0.03]",="[-0.02,-0.01]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.03,-0.00]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.03,-0.01]",="[0.00,0.04]",="[-0.03,-0.00]"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.000)",="(0.380)",="(0.000)",="(0.012)",="(0.000)",="(0.000)",="(0.327)",="(0.240)",="(0.000)",="(0.000)",="(0.316)",="(0.083)",="(0.001)",="(0.283)",="(0.012)",="(0.132)",="(0.507)",="(0.074)",="(0.000)",="(0.136)",="(0.970)",="(0.813)",="(0.837)",="(0.022)",="(0.083)",="(0.772)",="(0.939)",="(0.000)",="(0.000)",="(0.000)",="(0.663)",="(0.600)",="(0.791)",="(0.005)",="(0.488)",="(0.059)",="(0.392)",="(0.146)",="(0.373)",="(0.822)",="(0.348)",="(0.418)",="(0.004)",="(0.022)",="(0.005)"
="mc_mathisp",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.01***",="-0.03***",="0.04***",="-1.93***",="-0.05***",="-0.09***",="-0.01***",="-0.04***",="-0.04***",="-0.04***",="-0.01***",="-0.28***",="-1.65***",="2.37***",="-1.93***",="-0.01***",="-0.03***",="0.04***",="-1.93***",="-0.05***",="-0.09***",="-0.01***",="-0.03***",="-0.04***",="-0.04***",="-0.01***",="-0.27***",="-1.65***",="2.37***",="-1.93***",="-0.01***",="-0.03***",="0.04***",="-1.93***",="-0.05***",="-0.09***",="-0.01***",="-0.03***",="-0.04***",="-0.04***",="-0.01***",="-0.27***",="-1.66***",="2.37***",="-1.93***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="[-0.01,-0.00]",="[-0.03,-0.03]",="[0.03,0.04]",="[-2.00,-1.86]",="[-0.05,-0.04]",="[-0.11,-0.07]",="[-0.01,-0.01]",="[-0.05,-0.02]",="[-0.05,-0.04]",="[-0.04,-0.03]",="[-0.01,-0.01]",="[-0.33,-0.22]",="[-1.73,-1.57]",="[2.26,2.48]",="[-2.00,-1.86]",="[-0.01,-0.00]",="[-0.03,-0.03]",="[0.03,0.04]",="[-2.00,-1.86]",="[-0.05,-0.04]",="[-0.11,-0.07]",="[-0.01,-0.01]",="[-0.05,-0.02]",="[-0.05,-0.03]",="[-0.04,-0.03]",="[-0.01,-0.01]",="[-0.32,-0.22]",="[-1.73,-1.57]",="[2.26,2.47]",="[-2.00,-1.86]",="[-0.01,-0.00]",="[-0.03,-0.03]",="[0.03,0.04]",="[-2.00,-1.86]",="[-0.05,-0.04]",="[-0.11,-0.07]",="[-0.01,-0.01]",="[-0.05,-0.02]",="[-0.05,-0.03]",="[-0.04,-0.03]",="[-0.01,-0.01]",="[-0.32,-0.22]",="[-1.74,-1.58]",="[2.26,2.47]",="[-2.00,-1.86]"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="mc_matblack",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.03***",="-0.04***",="0.01",="0.58***",="-0.02*",="-0.04",="-0.01***",="-0.03",="-0.00",="-0.01",="-0.01***",="-0.11",="0.69***",="-0.51***",="0.58***",="0.03***",="-0.04***",="0.01",="0.58***",="-0.02*",="-0.04",="-0.01***",="-0.03",="-0.00",="-0.01",="-0.01***",="-0.11",="0.69***",="-0.51***",="0.58***",="0.03***",="-0.04***",="0.01",="0.58***",="-0.02*",="-0.04",="-0.01***",="-0.03",="-0.00",="-0.01",="-0.01***",="-0.11",="0.69***",="-0.51***",="0.58***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="[0.02,0.04]",="[-0.05,-0.03]",="[-0.00,0.02]",="[0.45,0.72]",="[-0.03,-0.00]",="[-0.08,0.00]",="[-0.02,-0.01]",="[-0.07,0.01]",="[-0.02,0.02]",="[-0.02,0.00]",="[-0.02,-0.00]",="[-0.22,0.00]",="[0.53,0.85]",="[-0.73,-0.29]",="[0.45,0.72]",="[0.02,0.04]",="[-0.05,-0.03]",="[-0.00,0.02]",="[0.45,0.72]",="[-0.03,-0.00]",="[-0.08,0.00]",="[-0.02,-0.01]",="[-0.07,0.00]",="[-0.02,0.02]",="[-0.02,0.00]",="[-0.02,-0.01]",="[-0.22,0.00]",="[0.53,0.85]",="[-0.73,-0.29]",="[0.45,0.72]",="[0.02,0.04]",="[-0.05,-0.03]",="[-0.00,0.02]",="[0.44,0.72]",="[-0.03,-0.00]",="[-0.08,0.00]",="[-0.02,-0.01]",="[-0.07,0.01]",="[-0.02,0.02]",="[-0.02,0.00]",="[-0.02,-0.00]",="[-0.22,0.00]",="[0.53,0.85]",="[-0.73,-0.29]",="[0.44,0.72]"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.000)",="(0.000)",="(0.113)",="(0.000)",="(0.030)",="(0.064)",="(0.001)",="(0.093)",="(0.894)",="(0.135)",="(0.001)",="(0.060)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.107)",="(0.000)",="(0.025)",="(0.056)",="(0.000)",="(0.087)",="(0.874)",="(0.127)",="(0.001)",="(0.057)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.109)",="(0.000)",="(0.028)",="(0.061)",="(0.001)",="(0.091)",="(0.880)",="(0.130)",="(0.001)",="(0.059)",="(0.000)",="(0.000)",="(0.000)"
