="",="(1)",="(2)",="(3)"
="",="newout_lengthloss",="newout_condlengthgap",="newout_condlengthloss"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="RD_Estimate",="0.64***",="0.04",="1.27***"
="",="[0.45,0.83]",="[-0.11,0.20]",="[0.59,1.96]"
="",="(0.000)",="(0.597)",="(0.000)"
="N",="129363",="21526",="21526"
