="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap"
="",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95",="b/ci95"
="RD_Estimate",="0.02*",="0.02***",="-0.04***",="-1.27***",="0.04***",="0.05**",="0.02***",="0.07**",="0.04**",="0.04***",="0.01**",="0.01",="-0.00",="-0.01",="-0.17",="0.01",="0.01",="0.00",="0.01",="0.02",="0.01",="0.00",="0.00",="-0.01",="0.02",="-0.03",="-0.01",="-0.02",="0.01",="-0.04",="-0.03",="-0.01",="0.00",="-0.02",="0.01",="0.02",="-0.11",="-0.02",="0.01",="0.03",="0.19*",="-0.03",="-0.02",="0.03"
="",="[0.00,0.03]",="[0.01,0.03]",="[-0.06,-0.03]",="[-1.58,-0.96]",="[0.02,0.05]",="[0.02,0.08]",="[0.01,0.03]",="[0.02,0.12]",="[0.01,0.06]",="[0.03,0.06]",="[0.00,0.02]",="[-0.00,0.02]",="[-0.01,0.01]",="[-0.03,0.00]",="[-0.46,0.12]",="[-0.00,0.03]",="[-0.01,0.04]",="[-0.01,0.01]",="[-0.02,0.04]",="[-0.01,0.04]",="[-0.00,0.03]",="[-0.01,0.01]",="[-0.02,0.03]",="[-0.03,0.02]",="[-0.02,0.05]",="[-0.45,0.40]",="[-0.05,0.03]",="[-0.08,0.04]",="[-0.02,0.03]",="[-0.14,0.06]",="[-0.08,0.02]",="[-0.05,0.02]",="[-0.02,0.02]",="[-0.05,0.02]",="[-0.03,0.04]",="[-0.03,0.07]",="[-0.67,0.44]",="[-0.07,0.03]",="[-0.08,0.09]",="[-0.00,0.06]",="[0.02,0.36]",="[-0.09,0.04]",="[-0.07,0.02]",="[-0.00,0.06]"
="N",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363"
