="",="(0.215)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.002)",="(0.000)",="(0.032)",="(0.000)",="(0.004)",="(0.083)",="(0.006)"
="mc_matasian",="-0.57***",="-0.89***",="-0.51***",="",="-0.77***",="-1.00***",="0.53***",="0.04***",="0.04***",="0.10***",="0.36***",="0.01",="-0.11***",="0.02**",="0.04***",="-0.01"
="",="[-0.76,-0.39]",="[-0.90,-0.89]",="[-0.51,-0.50]",="",="[-0.79,-0.76]",="[-1.00,-1.00]",="[0.52,0.55]",="[0.03,0.05]",="[0.03,0.06]",="[0.09,0.12]",="[0.23,0.48]",="[-0.00,0.03]",="[-0.12,-0.10]",="[0.01,0.03]",="[0.03,0.05]",="[-0.02,0.00]"
="",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.054)",="(0.000)",="(0.001)",="(0.000)",="(0.188)"
="mc_mathisp",="-1.10***",="-0.12***",="-0.16***",="-0.10***",="",="-0.00***",="0.28***",="-0.09***",="-0.07***",="-0.01***",="0.33***",="0.01**",="0.08***",="0.01***",="0.01**",="-0.02***"
="",="[-1.17,-1.04]",="[-0.12,-0.12]",="[-0.16,-0.16]",="[-0.10,-0.10]",="",="[-0.00,-0.00]",="[0.27,0.28]",="[-0.09,-0.08]",="[-0.08,-0.07]",="[-0.02,-0.01]",="[0.29,0.38]",="[0.00,0.01]",="[0.07,0.09]",="[0.00,0.01]",="[0.00,0.01]",="[-0.02,-0.01]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)",="(0.000)",="(0.006)",="(0.000)"
="mc_bornoutsideus",="2.85***",="-0.04***",="0.06***",="0.09***",="0.36***",="0.00***",="",="-0.20***",="0.01*",="0.17***",="0.29***",="-0.06***",="-0.12***",="-0.02***",="0.02***",="0.00"
="",="[2.77,2.93]",="[-0.05,-0.04]",="[0.06,0.06]",="[0.09,0.09]",="[0.36,0.37]",="[0.00,0.00]",="",="[-0.21,-0.20]",="[0.00,0.01]",="[0.16,0.18]",="[0.24,0.35]",="[-0.06,-0.05]",="[-0.13,-0.11]",="[-0.02,-0.02]",="[0.01,0.02]",="[-0.00,0.01]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="(0.000)",="(0.023)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.357)"
