="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="RD_Estimate",="0.01",="0.02***",="-0.03**",="-1.24***",="0.04***",="0.04*",="0.01",="0.06*",="0.04**",="0.03**",="0.01"
="",="[-0.00,0.03]",="[0.01,0.03]",="[-0.05,-0.01]",="[-1.53,-0.96]",="[0.02,0.06]",="[0.01,0.08]",="[-0.00,0.02]",="[0.01,0.12]",="[0.01,0.07]",="[0.01,0.05]",="[-0.00,0.02]"
="",="(0.128)",="(0.000)",="(0.002)",="(0.000)",="(0.001)",="(0.024)",="(0.141)",="(0.025)",="(0.008)",="(0.002)",="(0.087)"
="N",="127172",="127172",="127172",="127172",="127172",="127172",="127172",="127172",="127172",="127172",="127172"
