="",="(1)",="",="(2)",=""
="",="",="",="",=""
="",="b",="se",="b",="se"
="out_1anycomm",="0.07",="(0.00)",="0.07",="(0.00)"
="out_2anymarket",="0.03",="(0.00)",="0.03",="(0.00)"
="out_3onlymed",="0.91",="(0.00)",="0.91",="(0.00)"
="out_4enroldur",="10.45",="(0.01)",="10.19",="(0.03)"
="out_5disrupt",="0.10",="(0.00)",="0.10",="(0.00)"
="out_6countdisrupt",="0.14",="(0.00)",="0.15",="(0.00)"
="out_7countgaps",="0.02",="(0.00)",="0.03",="(0.00)"
="out_8gapdur",="0.09",="(0.00)",="0.10",="(0.01)"
="out_9countswitch",="0.12",="(0.00)",="0.13",="(0.00)"
="out_10anyswitch",="0.09",="(0.00)",="0.09",="(0.00)"
="out_11anygap",="0.02",="(0.00)",="0.03",="(0.00)"
="N",="109919",="",="15581",=""
