="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="RD_Estimate",="0.02*",="0.02***",="-0.04***",="-1.26***",="0.04***",="0.05**",="0.02***",="0.07**",="0.04**",="0.04***",="0.01**"
="",="[0.00,0.03]",="[0.01,0.03]",="[-0.06,-0.03]",="[-1.58,-0.95]",="[0.02,0.05]",="[0.02,0.08]",="[0.01,0.03]",="[0.02,0.12]",="[0.01,0.06]",="[0.02,0.06]",="[0.00,0.02]"
="",="(0.036)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.003)",="(0.001)",="(0.003)",="(0.007)",="(0.000)",="(0.004)"
="N",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363",="129363"
