="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="RD_Estimate",="0.02*",="0.03***",="-0.05***",="-0.92***",="0.04***",="0.06**",="0.02***",="0.08**",="0.04**",="0.04***",="0.02**"
="",="[0.00,0.03]",="[0.01,0.04]",="[-0.07,-0.03]",="[-1.14,-0.70]",="[0.02,0.06]",="[0.02,0.09]",="[0.01,0.03]",="[0.02,0.13]",="[0.01,0.07]",="[0.02,0.06]",="[0.01,0.03]"
="",="(0.048)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.003)",="(0.000)",="(0.004)",="(0.010)",="(0.000)",="(0.002)"
="N",="117692",="117692",="117692",="117692",="117692",="117692",="117692",="117692",="117692",="117692",="117692"
