="",="(1)",="",="(2)",=""
="",="",="",="",=""
="",="b",="se",="b",="se"
="out_1anycomm",="0.03",="(0.00)",="0.08",="(0.00)"
="out_2anymarket",="0.01",="(0.00)",="0.03",="(0.00)"
="out_3onlymed",="0.97",="(0.00)",="0.89",="(0.00)"
="out_4enroldur",="9.16",="(0.03)",="10.76",="(0.01)"
="out_5disrupt",="0.04",="(0.00)",="0.11",="(0.00)"
="out_6countdisrupt",="0.05",="(0.00)",="0.17",="(0.00)"
="out_7countgaps",="0.01",="(0.00)",="0.03",="(0.00)"
="out_8gapdur",="0.04",="(0.00)",="0.11",="(0.00)"
="out_9countswitch",="0.04",="(0.00)",="0.14",="(0.00)"
="out_10anyswitch",="0.03",="(0.00)",="0.10",="(0.00)"
="out_11anygap",="0.01",="(0.00)",="0.03",="(0.00)"
="N",="26596",="",="98904",=""
