="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="out_1anycomm",="out_2anymarket",="out_3onlymed",="out_4enroldur",="out_5disrupt",="out_6countdisrupt",="out_7countgaps",="out_8gapdur",="out_9countswitch",="out_10anyswitch",="out_11anygap"
="",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p",="b/ci95/p"
="treated",="-0.02**",="-0.03***",="0.05***",="-1.47***",="-0.06***",="-0.10***",="-0.02***",="-0.09***",="-0.07***",="-0.05***",="-0.02***"
="",="[-0.04,-0.01]",="[-0.04,-0.02]",="[0.03,0.07]",="[-1.74,-1.20]",="[-0.07,-0.04]",="[-0.13,-0.07]",="[-0.04,-0.01]",="[-0.13,-0.04]",="[-0.10,-0.05]",="[-0.07,-0.03]",="[-0.03,-0.01]"
="",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="group",="0.03***",="0.00***",="-0.03***",="1.31***",="0.03***",="0.05***",="0.01***",="0.02***",="0.05***",="0.03***",="0.01***"
="",="[0.02,0.03]",="[0.00,0.01]",="[-0.03,-0.03]",="[1.25,1.37]",="[0.03,0.04]",="[0.05,0.06]",="[0.00,0.01]",="[0.01,0.03]",="[0.04,0.05]",="[0.03,0.03]",="[0.00,0.01]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="inter_main",="0.05***",="0.06***",="-0.11***",="-0.37**",="0.11***",="0.18***",="0.04***",="0.17***",="0.14***",="0.11***",="0.04***"
="",="[0.04,0.06]",="[0.05,0.07]",="[-0.12,-0.10]",="[-0.59,-0.15]",="[0.10,0.12]",="[0.16,0.20]",="[0.04,0.05]",="[0.14,0.21]",="[0.12,0.15]",="[0.10,0.12]",="[0.04,0.05]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="centered",="0.00",="0.00**",="-0.00**",="0.04***",="0.00**",="0.00***",="0.00*",="0.00*",="0.00**",="0.00**",="0.00*"
="",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[0.03,0.05]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]"
="",="(0.182)",="(0.002)",="(0.003)",="(0.000)",="(0.001)",="(0.001)",="(0.016)",="(0.036)",="(0.003)",="(0.003)",="(0.016)"
="quad",="-0.00",="0.00",="-0.00",="0.00***",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.591)",="(0.296)",="(0.731)",="(0.000)",="(0.635)",="(0.449)",="(0.377)",="(0.462)",="(0.583)",="(0.753)",="(0.394)"
="cub",="-0.00",="0.00",="0.00",="0.00***",="-0.00",="-0.00",="0.00",="-0.00",="-0.00",="-0.00",="0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.144)",="(0.967)",="(0.327)",="(0.000)",="(0.382)",="(0.579)",="(0.958)",="(0.995)",="(0.518)",="(0.320)",="(0.990)"
="lin_inter",="-0.00",="-0.00",="0.00",="-0.04***",="-0.00",="-0.00",="0.00",="0.00",="-0.00",="-0.00",="0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.05,-0.04]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.839)",="(0.746)",="(0.563)",="(0.000)",="(0.422)",="(0.435)",="(0.751)",="(0.437)",="(0.311)",="(0.590)",="(0.771)"
="quad_inter",="0.00",="-0.00",="0.00",="-0.00***",="-0.00",="-0.00",="-0.00",="-0.00",="-0.00",="-0.00",="-0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.730)",="(0.117)",="(0.438)",="(0.000)",="(0.356)",="(0.201)",="(0.109)",="(0.114)",="(0.375)",="(0.455)",="(0.121)"
="cub_inter",="0.00",="0.00",="-0.00",="-0.00***",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.138)",="(0.953)",="(0.293)",="(0.000)",="(0.341)",="(0.515)",="(0.917)",="(0.849)",="(0.483)",="(0.287)",="(0.888)"
="mc_mathisp",="-0.00**",="-0.02***",="0.02***",="-1.70***",="-0.02***",="-0.03***",="-0.01***",="-0.02***",="-0.02***",="-0.02***",="-0.01***"
="",="[-0.01,-0.00]",="[-0.02,-0.01]",="[0.02,0.02]",="[-1.74,-1.65]",="[-0.02,-0.02]",="[-0.03,-0.02]",="[-0.01,-0.00]",="[-0.03,-0.01]",="[-0.03,-0.02]",="[-0.02,-0.02]",="[-0.01,-0.00]"
="",="(0.003)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="mc_matblack",="0.03***",="-0.02***",="-0.00",="0.42***",="0.01*",="0.01",="-0.00*",="-0.01",="0.01*",="0.01",="-0.00"
="",="[0.02,0.03]",="[-0.02,-0.02]",="[-0.01,0.00]",="[0.34,0.50]",="[0.00,0.02]",="[-0.00,0.02]",="[-0.01,-0.00]",="[-0.03,0.01]",="[0.00,0.02]",="[-0.00,0.01]",="[-0.01,0.00]"
="",="(0.000)",="(0.000)",="(0.197)",="(0.000)",="(0.044)",="(0.135)",="(0.041)",="(0.187)",="(0.017)",="(0.160)",="(0.062)"
="mc_white",="0.00",="-0.00**",="0.00",="0.27***",="-0.00",="-0.00",="-0.00",="-0.01",="-0.00",="-0.00",="-0.00"
="",="[-0.00,0.00]",="[-0.01,-0.00]",="[-0.00,0.01]",="[0.21,0.34]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.00,0.00]",="[-0.02,0.00]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.00,0.00]"
="",="(0.576)",="(0.001)",="(0.065)",="(0.000)",="(0.069)",="(0.206)",="(0.108)",="(0.072)",="(0.388)",="(0.070)",="(0.121)"
="mc_mat_hs",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="mc_mat_coll",="0.04***",="0.02***",="-0.06***",="-0.02",="0.06***",="0.09***",="0.01***",="0.04***",="0.08***",="0.06***",="0.01***"
="",="[0.03,0.04]",="[0.02,0.03]",="[-0.07,-0.06]",="[-0.07,0.04]",="[0.06,0.07]",="[0.08,0.10]",="[0.01,0.01]",="[0.03,0.05]",="[0.07,0.09]",="[0.06,0.07]",="[0.01,0.01]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.560)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="mc_complications",="0.00",="0.00",="-0.00",="-0.13***",="0.00",="0.01*",="0.00",="0.01",="0.01*",="0.00",="0.00"
="",="[-0.00,0.01]",="[-0.00,0.00]",="[-0.01,0.00]",="[-0.20,-0.06]",="[-0.00,0.01]",="[0.00,0.02]",="[-0.00,0.00]",="[-0.01,0.02]",="[0.00,0.02]",="[-0.00,0.01]",="[-0.00,0.00]"
="",="(0.294)",="(0.784)",="(0.221)",="(0.000)",="(0.103)",="(0.017)",="(0.183)",="(0.342)",="(0.025)",="(0.246)",="(0.178)"
="mc_mat_married",="-0.00*",="0.01***",="-0.00",="-0.54***",="-0.00",="0.00",="0.00",="0.01",="-0.00",="0.00",="0.00*"
="",="[-0.01,-0.00]",="[0.00,0.01]",="[-0.00,0.00]",="[-0.58,-0.50]",="[-0.00,0.00]",="[-0.01,0.01]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.01,0.00]",="[-0.00,0.00]",="[0.00,0.00]"
="",="(0.013)",="(0.000)",="(0.420)",="(0.000)",="(0.976)",="(0.903)",="(0.054)",="(0.096)",="(0.595)",="(0.478)",="(0.044)"
="mc_pnv",="0.00***",="0.00",="-0.00***",="-0.00",="0.00***",="0.00***",="-0.00*",="-0.00",="0.00***",="0.00***",="-0.00*"
="",="[0.00,0.00]",="[-0.00,0.00]",="[-0.00,-0.00]",="[-0.01,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[-0.00,0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]"
="",="(0.000)",="(0.171)",="(0.000)",="(0.606)",="(0.000)",="(0.000)",="(0.042)",="(0.100)",="(0.000)",="(0.000)",="(0.041)"
="mc_chronic",="0.01***",="-0.01***",="0.00",="0.43***",="-0.00",="0.00",="0.00",="0.00",="0.00",="-0.00",="0.00"
="",="[0.00,0.01]",="[-0.01,-0.00]",="[-0.00,0.00]",="[0.39,0.48]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.00,0.00]",="[-0.01,0.01]",="[-0.00,0.01]",="[-0.00,0.00]",="[-0.00,0.00]"
="",="(0.000)",="(0.000)",="(0.897)",="(0.000)",="(0.960)",="(0.590)",="(0.980)",="(0.633)",="(0.539)",="(0.966)",="(0.901)"
="mc_matage",="-0.00***",="0.00***",="0.00***",="-0.09***",="-0.00***",="-0.00**",="0.00***",="0.00***",="-0.00***",="-0.00***",="0.00***"
="",="[-0.00,-0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.10,-0.09]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[0.00,0.00]",="[0.00,0.00]",="[-0.00,-0.00]",="[-0.00,-0.00]",="[0.00,0.00]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.005)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="mc_csec",="-0.00",="-0.00",="0.00",="-0.05",="-0.00",="-0.01",="-0.00",="-0.01",="-0.00",="-0.00",="-0.00"
="",="[-0.00,0.00]",="[-0.00,0.00]",="[-0.00,0.01]",="[-0.10,0.00]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.00,0.00]",="[-0.02,0.00]",="[-0.01,0.00]",="[-0.01,0.00]",="[-0.00,0.00]"
="",="(0.408)",="(0.467)",="(0.281)",="(0.051)",="(0.146)",="(0.113)",="(0.184)",="(0.207)",="(0.178)",="(0.288)",="(0.175)"
="mc_preterm",="0.00",="-0.00",="-0.00",="0.25***",="-0.00",="-0.00",="-0.00",="-0.01",="0.00",="-0.00",="-0.00"
="",="[-0.00,0.01]",="[-0.01,0.00]",="[-0.01,0.01]",="[0.18,0.32]",="[-0.01,0.01]",="[-0.01,0.01]",="[-0.00,0.00]",="[-0.02,0.00]",="[-0.01,0.01]",="[-0.01,0.01]",="[-0.00,0.00]"
="",="(0.390)",="(0.159)",="(0.904)",="(0.000)",="(0.823)",="(0.846)",="(0.432)",="(0.136)",="(0.949)",="(0.999)",="(0.439)"
="_cons",="0.08***",="0.02***",="0.90***",="13.20***",="0.11***",="0.16***",="0.02***",="0.08***",="0.14***",="0.10***",="0.02***"
="",="[0.07,0.10]",="[0.01,0.03]",="[0.88,0.91]",="[13.00,13.41]",="[0.10,0.13]",="[0.13,0.19]",="[0.01,0.03]",="[0.04,0.12]",="[0.11,0.16]",="[0.08,0.12]",="[0.01,0.03]"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="N",="119346",="119346",="119346",="119346",="119346",="119346",="119346",="119346",="119346",="119346",="119346"
